"subject_uri","birthYear","label"
"http://dbpedia.org/resource/Elizabeth_Pease_Nichol",1807,"Elizabeth Pease Nichol"
"http://dbpedia.org/resource/John_Bosco",1815,"John Bosco"
"http://dbpedia.org/resource/Henry_David_Thoreau",1817,"Henry David Thoreau"
"http://dbpedia.org/resource/Julia_Ward_Howe",1819,"Julia Ward Howe"
"http://dbpedia.org/resource/Frédéric_Passy",1822,"Frédéric Passy"
"http://dbpedia.org/resource/Leo_Tolstoy",1828,"Leo Tolstoy"
"http://dbpedia.org/resource/Henry_Dunant",1828,"Henry Dunant"
"http://dbpedia.org/resource/Randal_Cremer",1828,"Randal Cremer"
"http://dbpedia.org/resource/Priscilla_Hannah_Peckover",1833,"Priscilla Hannah Peckover"
"http://dbpedia.org/resource/Élie_Ducommun",1833,"Élie Ducommun"
"http://dbpedia.org/resource/Andrew_Carnegie",1835,"Andrew Carnegie"
"http://dbpedia.org/resource/Olympia_Brown",1835,"Olympia Brown"
"http://dbpedia.org/resource/Matilde_Bajer",1840,"Matilde Bajer"
"http://dbpedia.org/resource/Bertha_von_Suttner",1843,"Bertha von Suttner"
"http://dbpedia.org/resource/Émilie_de_Morsier",1843,"Émilie de Morsier"
"http://dbpedia.org/resource/Maria_Pognon",1844,"Maria Pognon"
"http://dbpedia.org/resource/Klas_Pontus_Arnoldson",1844,"Klas Pontus Arnoldson"
"http://dbpedia.org/resource/Benjamin_Franklin_Trueblood",1847,"Benjamin Franklin Trueblood"
"http://dbpedia.org/resource/Ann-Margret_Holmgren",1850,"Ann-Margret Holmgren"
"http://dbpedia.org/resource/Agda_Montelius",1850,"Agda Montelius"
"http://dbpedia.org/resource/Aletta_Jacobs",1854,"Aletta Jacobs"
"http://dbpedia.org/resource/Alfred_Vanderpol",1854,"Alfred Vanderpol"
"http://dbpedia.org/resource/Henri_La_Fontaine",1854,"Henri La Fontaine"
"http://dbpedia.org/resource/Pope_Benedict_XV",1854,"Pope Benedict XV"
"http://dbpedia.org/resource/Keir_Hardie",1856,"Keir Hardie"
"http://dbpedia.org/resource/Margaret_Ashton",1856,"Margaret Ashton"
"http://dbpedia.org/resource/Clara_Zetkin",1857,"Clara Zetkin"
"http://dbpedia.org/resource/Anita_Augspurg",1857,"Anita Augspurg"
"http://dbpedia.org/resource/Ludwig_Quidde",1858,"Ludwig Quidde"
"http://dbpedia.org/resource/Albert_Bourderon",1858,"Albert Bourderon"
"http://dbpedia.org/resource/Eline_Hansen",1859,"Eline Hansen"
"http://dbpedia.org/resource/George_Lansbury",1859,"George Lansbury"
"http://dbpedia.org/resource/Jean_Jaurès",1859,"Jean Jaurès"
"http://dbpedia.org/resource/L._L._Zamenhof",1859,"L. L. Zamenhof"
"http://dbpedia.org/resource/Emily_Hobhouse",1860,"Emily Hobhouse"
"http://dbpedia.org/resource/Jane_Addams",1860,"Jane Addams"
"http://dbpedia.org/resource/Han_Ryner",1861,"Han Ryner"
"http://dbpedia.org/resource/Julia_Solly",1862,"Julia Solly"
"http://dbpedia.org/resource/Hugo_Haase",1863,"Hugo Haase"
"http://dbpedia.org/resource/Lucina_Hagman",1863,"Lucina Hagman"
"http://dbpedia.org/resource/Arthur_Henderson",1863,"Arthur Henderson"
"http://dbpedia.org/resource/Alfred_Hermann_Fried",1864,"Alfred Hermann Fried"
"http://dbpedia.org/resource/Helena_Swanwick",1864,"Helena Swanwick"
"http://dbpedia.org/resource/John_Mott",1865,"John Mott"
"http://dbpedia.org/resource/Anton_Bacalbașa",1865,"Anton Bacalbașa"
"http://dbpedia.org/resource/Romain_Rolland",1866,"Romain Rolland"
"http://dbpedia.org/resource/Christine_Ross_Barker",1866,"Christine Ross Barker"
"http://dbpedia.org/resource/Emilia_Broomé",1866,"Emilia Broomé"
"http://dbpedia.org/resource/Alice_Amelia_Chown",1866,"Alice Amelia Chown"
"http://dbpedia.org/resource/Sophonisba_Breckinridge",1866,"Sophonisba Breckinridge"
"http://dbpedia.org/resource/Emily_Greene_Balch",1867,"Emily Greene Balch"
"http://dbpedia.org/resource/Lillian_Wald",1867,"Lillian Wald"
"http://dbpedia.org/resource/Anna_B._Eckstein",1868,"Anna B. Eckstein"
"http://dbpedia.org/resource/Émile_Chartier",1868,"Émile Chartier"
"http://dbpedia.org/resource/Christian_Lous_Lange",1869,"Christian Lous Lange"
"http://dbpedia.org/resource/Emma_Goldman",1869,"Emma Goldman"
"http://dbpedia.org/resource/Mahatma_Gandhi",1869,"Mahatma Gandhi"
"http://dbpedia.org/resource/Alma_Dolens",1869,"Alma Dolens"
"http://dbpedia.org/resource/Lilian_Stevenson",1870,"Lilian Stevenson"
"http://dbpedia.org/resource/Gabrielle_Duchêne",1870,"Gabrielle Duchêne"
"http://dbpedia.org/resource/Ada_Nield_Chew",1870,"Ada Nield Chew"
"http://dbpedia.org/resource/Fernand_Loriot",1870,"Fernand Loriot"
"http://dbpedia.org/resource/Florence_Jaffray_Harriman",1870,"Florence Jaffray Harriman"
"http://dbpedia.org/resource/Gustav_Landauer",1870,"Gustav Landauer"
"http://dbpedia.org/resource/Rosa_Luxemburg",1871,"Rosa Luxemburg"
"http://dbpedia.org/resource/Cornelia_Ramondt-Hirschmann",1871,"Cornelia Ramondt-Hirschmann"
"http://dbpedia.org/resource/Bertrand_Russell",1872,"Bertrand Russell"
"http://dbpedia.org/resource/Chrystal_Macmillan",1872,"Chrystal Macmillan"
"http://dbpedia.org/resource/Émile_Armand",1872,"Émile Armand"
"http://dbpedia.org/resource/Hannah_Clothier_Hull",1872,"Hannah Clothier Hull"
"http://dbpedia.org/resource/E._D._Morel",1873,"E. D. Morel"
"http://dbpedia.org/resource/Urbain_Ledoux",1874,"Urbain Ledoux"
"http://dbpedia.org/resource/Clara_Ragaz",1874,"Clara Ragaz"
"http://dbpedia.org/resource/Nicholas_Roerich",1874,"Nicholas Roerich"
"http://dbpedia.org/resource/Otto_Rühle",1874,"Otto Rühle"
"http://dbpedia.org/resource/Félicien_Challaye",1875,"Félicien Challaye"
"http://dbpedia.org/resource/Molly_Childers",1875,"Molly Childers"
"http://dbpedia.org/resource/Lilian_Wolfe",1875,"Lilian Wolfe"
"http://dbpedia.org/resource/Lola_Maverick_Lloyd",1875,"Lola Maverick Lloyd"
"http://dbpedia.org/resource/Suze_Groeneweg",1875,"Suze Groeneweg"
"http://dbpedia.org/resource/Albert_Schweitzer",1875,"Albert Schweitzer"
"http://dbpedia.org/resource/Evelyn_Underhill",1875,"Evelyn Underhill"
"http://dbpedia.org/resource/Martha_Larsen_Jahn",1875,"Martha Larsen Jahn"
"http://dbpedia.org/resource/Mary_Dingman",1875,"Mary Dingman"
"http://dbpedia.org/resource/Mien_van_Wulfften_Palthe",1875,"Mien van Wulfften Palthe"
"http://dbpedia.org/resource/Rosika_Schwimmer",1877,"Rosika Schwimmer"
"http://dbpedia.org/resource/Jeanne_Mélin",1877,"Jeanne Mélin"
"http://dbpedia.org/resource/Madeleine_Vernet",1878,"Madeleine Vernet"
"http://dbpedia.org/resource/Francis_Sheehy-Skeffington",1878,"Francis Sheehy-Skeffington"
"http://dbpedia.org/resource/Pierre_Brizon",1878,"Pierre Brizon"
"http://dbpedia.org/resource/Yosano_Akiko",1878,"Yosano Akiko"
"http://dbpedia.org/resource/Miriam_Soljak",1879,"Miriam Soljak"
"http://dbpedia.org/resource/Albert_Einstein",1879,"Albert Einstein"
"http://dbpedia.org/resource/Otto_Hahn",1879,"Otto Hahn"
"http://dbpedia.org/resource/Helen_Keller",1880,"Helen Keller"
"http://dbpedia.org/resource/Jeannette_Rankin",1880,"Jeannette Rankin"
"http://dbpedia.org/resource/Dick_Sheppard_(priest)",1880,"Dick Sheppard (priest)"
"http://dbpedia.org/resource/Carl_Bonnevie",1881,"Carl Bonnevie"
"http://dbpedia.org/resource/Rosa_Manus",1881,"Rosa Manus"
"http://dbpedia.org/resource/Crystal_Eastman",1881,"Crystal Eastman"
"http://dbpedia.org/resource/Lewis_Fry_Richardson",1881,"Lewis Fry Richardson"
"http://dbpedia.org/resource/Heloise_Brainerd",1881,"Heloise Brainerd"
"http://dbpedia.org/resource/Isabel_Longworth",1881,"Isabel Longworth"
"http://dbpedia.org/resource/Archibald_Baxter",1881,"Archibald Baxter"
"http://dbpedia.org/resource/Sybil_Thorndike",1882,"Sybil Thorndike"
"http://dbpedia.org/resource/Bart_de_Ligt",1883,"Bart de Ligt"
"http://dbpedia.org/resource/Kathleen_Innes",1883,"Kathleen Innes"
"http://dbpedia.org/resource/Roger_Nash_Baldwin",1884,"Roger Nash Baldwin"
"http://dbpedia.org/resource/Franz_Rosenzweig",1886,"Franz Rosenzweig"
"http://dbpedia.org/resource/Helen_Chenevix",1886,"Helen Chenevix"
"http://dbpedia.org/resource/Nikolaus_Ehlen",1886,"Nikolaus Ehlen"
"http://dbpedia.org/resource/Salvador_de_Madariaga",1886,"Salvador de Madariaga"
"http://dbpedia.org/resource/Tano_Jōdai",1886,"Tano Jōdai"
"http://dbpedia.org/resource/René_Cassin",1887,"René Cassin"
"http://dbpedia.org/resource/Arnold_Zweig",1887,"Arnold Zweig"
"http://dbpedia.org/resource/Louis_Lecoin",1888,"Louis Lecoin"
"http://dbpedia.org/resource/Siri_Derkert",1888,"Siri Derkert"
"http://dbpedia.org/resource/Eugen_Rosenstock-Huessy",1888,"Eugen Rosenstock-Huessy"
"http://dbpedia.org/resource/Fenner_Brockway",1888,"Fenner Brockway"
"http://dbpedia.org/resource/Dorothy_Evans",1888,"Dorothy Evans"
"http://dbpedia.org/resource/Norma_Elizabeth_Boyd",1888,"Norma Elizabeth Boyd"
"http://dbpedia.org/resource/Carl_von_Ossietzky",1889,"Carl von Ossietzky"
"http://dbpedia.org/resource/Doris_Blackburn",1889,"Doris Blackburn"
"http://dbpedia.org/resource/Philip_Noel-Baker",1889,"Philip Noel-Baker"
"http://dbpedia.org/resource/Gertrud_Baer",1890,"Gertrud Baer"
"http://dbpedia.org/resource/Selma_Meyer",1890,"Selma Meyer"
"http://dbpedia.org/resource/B._R._Ambedkar",1891,"B. R. Ambedkar"
"http://dbpedia.org/resource/Sigrid_Helliesen_Lund",1892,"Sigrid Helliesen Lund"
"http://dbpedia.org/resource/Martin_Niemöller",1892,"Martin Niemöller"
"http://dbpedia.org/resource/Vera_Brittain",1893,"Vera Brittain"
"http://dbpedia.org/resource/Ammon_Hennacy",1893,"Ammon Hennacy"
"http://dbpedia.org/resource/Dorothy_Detzer",1893,"Dorothy Detzer"
"http://dbpedia.org/resource/Rae_Luckock",1893,"Rae Luckock"
"http://dbpedia.org/resource/Annot_(artist)",1894,"Annot (artist)"
"http://dbpedia.org/resource/Aldous_Huxley",1894,"Aldous Huxley"
"http://dbpedia.org/resource/Igino_Giordani",1894,"Igino Giordani"
"http://dbpedia.org/resource/Vinoba_Bhave",1895,"Vinoba Bhave"
"http://dbpedia.org/resource/Eugen_Relgis",1895,"Eugen Relgis"
"http://dbpedia.org/resource/Willemijn_Posthumus-van_der_Goot",1897,"Willemijn Posthumus-van der Goot"
"http://dbpedia.org/resource/Dorothy_Day",1897,"Dorothy Day"
"http://dbpedia.org/resource/Irene_Greenwood",1898,"Irene Greenwood"
"http://dbpedia.org/resource/James_Gareth_Endicott",1898,"James Gareth Endicott"
"http://dbpedia.org/resource/Mildred_Fahrni",1900,"Mildred Fahrni"
"http://dbpedia.org/resource/Linus_Pauling",1901,"Linus Pauling"
"http://dbpedia.org/resource/Lanza_del_Vasto",1901,"Lanza del Vasto"
"http://dbpedia.org/resource/Amparo_Poch_y_Gascón",1902,"Amparo Poch y Gascón"
"http://dbpedia.org/resource/Günther_Anders",1902,"Günther Anders"
"http://dbpedia.org/resource/Roger_Monclin",1903,"Roger Monclin"
"http://dbpedia.org/resource/Benjamin_Spock",1903,"Benjamin Spock"
"http://dbpedia.org/resource/Ella_Baker",1903,"Ella Baker"
"http://dbpedia.org/resource/Ava_Helen_Pauling",1903,"Ava Helen Pauling"
"http://dbpedia.org/resource/Donald_Soper",1903,"Donald Soper"
"http://dbpedia.org/resource/Waldo_Williams",1904,"Waldo Williams"
"http://dbpedia.org/resource/John_Peters_Humphrey",1905,"John Peters Humphrey"
"http://dbpedia.org/resource/Albert_Bigelow",1906,"Albert Bigelow"
"http://dbpedia.org/resource/Abraham_Joshua_Heschel",1907,"Abraham Joshua Heschel"
"http://dbpedia.org/resource/Peace_Pilgrim",1908,"Peace Pilgrim"
"http://dbpedia.org/resource/Muriel_Duckworth",1908,"Muriel Duckworth"
"http://dbpedia.org/resource/Margaret_Holmes",1909,"Margaret Holmes"
"http://dbpedia.org/resource/Hélder_Câmara",1909,"Hélder Câmara"
"http://dbpedia.org/resource/Idy_Hegnauer",1909,"Idy Hegnauer"
"http://dbpedia.org/resource/Peggy_Duff",1910,"Peggy Duff"
"http://dbpedia.org/resource/Paul_Goodman",1911,"Paul Goodman"
"http://dbpedia.org/resource/Alfonso_García_Robles",1911,"Alfonso García Robles"
"http://dbpedia.org/resource/Genevieve_Fiore",1912,"Genevieve Fiore"
"http://dbpedia.org/resource/Abbé_Pierre",1912,"Abbé Pierre"
"http://dbpedia.org/resource/Grigoris_Lambrakis",1912,"Grigoris Lambrakis"
"http://dbpedia.org/resource/Woody_Guthrie",1912,"Woody Guthrie"
"http://dbpedia.org/resource/Wilson_A._Head",1914,"Wilson A. Head"
"http://dbpedia.org/resource/James_Peck_(pacifist)",1914,"James Peck (pacifist)"
"http://dbpedia.org/resource/David_Dellinger",1915,"David Dellinger"
"http://dbpedia.org/resource/Ivan_Supek",1915,"Ivan Supek"
"http://dbpedia.org/resource/John_McConnell_(peace_activist)",1915,"John McConnell (peace activist)"
"http://dbpedia.org/resource/Norman_Cousins",1915,"Norman Cousins"
"http://dbpedia.org/resource/Adam_Curle",1916,"Adam Curle"
"http://dbpedia.org/resource/Eugene_McCarthy",1916,"Eugene McCarthy"
"http://dbpedia.org/resource/Robert_Baker_Aitken",1917,"Robert Baker Aitken"
"http://dbpedia.org/resource/Óscar_Romero",1917,"Óscar Romero"
"http://dbpedia.org/resource/Marii_Hasegawa",1918,"Marii Hasegawa"
"http://dbpedia.org/resource/Nelson_Mandela",1918,"Nelson Mandela"
"http://dbpedia.org/resource/Pete_Seeger",1919,"Pete Seeger"
