"subject_uri","birthYear","label"
"http://dbpedia.org/resource/Simonne_Monet-Chartrand",1919,"Simonne Monet-Chartrand"
"http://dbpedia.org/resource/Frances_Crowe",1919,"Frances Crowe"
"http://dbpedia.org/resource/Lawrence_Ferlinghetti",1919,"Lawrence Ferlinghetti"
"http://dbpedia.org/resource/Elise_M._Boulding",1920,"Elise M. Boulding"
"http://dbpedia.org/resource/Alex_Comfort",1920,"Alex Comfort"
"http://dbpedia.org/resource/Chiara_Lubich",1920,"Chiara Lubich"
"http://dbpedia.org/resource/Pope_John_Paul_II",1920,"Pope John Paul II"
"http://dbpedia.org/resource/Ursula_Franklin",1921,"Ursula Franklin"
"http://dbpedia.org/resource/Andrei_Sakharov",1921,"Andrei Sakharov"
"http://dbpedia.org/resource/Daniel_Berrigan",1921,"Daniel Berrigan"
"http://dbpedia.org/resource/Howard_Zinn",1922,"Howard Zinn"
"http://dbpedia.org/resource/George_McGovern",1922,"George McGovern"
"http://dbpedia.org/resource/Edith_Ballantyne",1922,"Edith Ballantyne"
"http://dbpedia.org/resource/Kurt_Vonnegut",1922,"Kurt Vonnegut"
"http://dbpedia.org/resource/Uri_Avnery",1923,"Uri Avnery"
"http://dbpedia.org/resource/Mattityahu_Peled",1923,"Mattityahu Peled"
"http://dbpedia.org/resource/Walter_Wolfgang",1923,"Walter Wolfgang"
"http://dbpedia.org/resource/Norman_Mailer",1923,"Norman Mailer"
"http://dbpedia.org/resource/Philip_Berrigan",1923,"Philip Berrigan"
"http://dbpedia.org/resource/William_Sloane_Coffin",1924,"William Sloane Coffin"
"http://dbpedia.org/resource/Hedy_Epstein",1924,"Hedy Epstein"
"http://dbpedia.org/resource/Jimmy_Carter",1924,"Jimmy Carter"
"http://dbpedia.org/resource/Paul_Newman",1925,"Paul Newman"
"http://dbpedia.org/resource/Wahiduddin_Khan",1925,"Wahiduddin Khan"
"http://dbpedia.org/resource/Helmuth_Hübener",1925,"Helmuth Hübener"
"http://dbpedia.org/resource/Christopher_Weeramantry",1926,"Christopher Weeramantry"
"http://dbpedia.org/resource/Geoffrey_Ostergaard",1926,"Geoffrey Ostergaard"
"http://dbpedia.org/resource/Murray_Rothbard",1926,"Murray Rothbard"
"http://dbpedia.org/resource/Thích_Nhất_Hạnh",1926,"Thích Nhất Hạnh"
"http://dbpedia.org/resource/Allen_Ginsberg",1926,"Allen Ginsberg"
"http://dbpedia.org/resource/Bradford_Lyttle",1927,"Bradford Lyttle"
"http://dbpedia.org/resource/Coretta_Scott_King",1927,"Coretta Scott King"
"http://dbpedia.org/resource/Cesar_Chavez",1927,"Cesar Chavez"
"http://dbpedia.org/resource/Harry_Belafonte",1927,"Harry Belafonte"
"http://dbpedia.org/resource/Abie_Nathan",1927,"Abie Nathan"
"http://dbpedia.org/resource/Olof_Palme",1927,"Olof Palme"
"http://dbpedia.org/resource/Ramsey_Clark",1927,"Ramsey Clark"
"http://dbpedia.org/resource/Gene_Sharp",1928,"Gene Sharp"
"http://dbpedia.org/resource/Noam_Chomsky",1928,"Noam Chomsky"
"http://dbpedia.org/resource/Jim_Radford",1928,"Jim Radford"
"http://dbpedia.org/resource/David_McReynolds",1929,"David McReynolds"
"http://dbpedia.org/resource/Staughton_Lynd",1929,"Staughton Lynd"
"http://dbpedia.org/resource/Brigid_Brophy",1929,"Brigid Brophy"
"http://dbpedia.org/resource/Bruce_Kent",1929,"Bruce Kent"
"http://dbpedia.org/resource/Douglas_Roche",1929,"Douglas Roche"
"http://dbpedia.org/resource/Marjorie_Bradford_Melville",1929,"Marjorie Bradford Melville"
"http://dbpedia.org/resource/Martin_Luther_King_Jr.",1929,"Martin Luther King Jr."
"http://dbpedia.org/resource/Megan_Rice",1930,"Megan Rice"
"http://dbpedia.org/resource/Desmond_Tutu",1931,"Desmond Tutu"
"http://dbpedia.org/resource/Mohamed_Sahnoun",1931,"Mohamed Sahnoun"
"http://dbpedia.org/resource/Daniel_Ellsberg",1931,"Daniel Ellsberg"
"http://dbpedia.org/resource/Mikhail_Gorbachev",1931,"Mikhail Gorbachev"
"http://dbpedia.org/resource/David_McTaggart",1932,"David McTaggart"
"http://dbpedia.org/resource/Paul_Krassner",1932,"Paul Krassner"
"http://dbpedia.org/resource/Louis_Vitale",1932,"Louis Vitale"
"http://dbpedia.org/resource/Dick_Gregory",1932,"Dick Gregory"
"http://dbpedia.org/resource/Setsuko_Thurlow",1932,"Setsuko Thurlow"
"http://dbpedia.org/resource/Sulak_Sivaraksa",1933,"Sulak Sivaraksa"
"http://dbpedia.org/resource/Yoko_Ono",1933,"Yoko Ono"
"http://dbpedia.org/resource/Carl_Sagan",1934,"Carl Sagan"
"http://dbpedia.org/resource/Tom_Cornell",1934,"Tom Cornell"
"http://dbpedia.org/resource/Margaretta_D'Arcy",1934,"Margaretta D'Arcy"
"http://dbpedia.org/resource/Arun_Manilal_Gandhi",1934,"Arun Manilal Gandhi"
"http://dbpedia.org/resource/Marcus_Raskin",1934,"Marcus Raskin"
"http://dbpedia.org/resource/Solange_Fernex",1934,"Solange Fernex"
"http://dbpedia.org/resource/Ron_Paul",1935,"Ron Paul"
"http://dbpedia.org/resource/Edward_Said",1935,"Edward Said"
"http://dbpedia.org/resource/Concepción_Picciotto",1936,"Concepción Picciotto"
"http://dbpedia.org/resource/Václav_Havel",1936,"Václav Havel"
"http://dbpedia.org/resource/Wavy_Gravy",1936,"Wavy Gravy"
"http://dbpedia.org/resource/Dahlia_Ravikovitch",1936,"Dahlia Ravikovitch"
"http://dbpedia.org/resource/J._Edward_Guinan",1936,"J. Edward Guinan"
"http://dbpedia.org/resource/James_Bevel",1936,"James Bevel"
"http://dbpedia.org/resource/George_Lakey",1937,"George Lakey"
"http://dbpedia.org/resource/Jane_Fonda",1937,"Jane Fonda"
"http://dbpedia.org/resource/Cheng_Yen",1937,"Cheng Yen"
"http://dbpedia.org/resource/John_Hume",1937,"John Hume"
"http://dbpedia.org/resource/Martti_Ahtisaari",1937,"Martti Ahtisaari"
"http://dbpedia.org/resource/Peter_Yarrow",1938,"Peter Yarrow"
"http://dbpedia.org/resource/Colman_McCarthy",1938,"Colman McCarthy"
"http://dbpedia.org/resource/Ellen_Johnson_Sirleaf",1938,"Ellen Johnson Sirleaf"
"http://dbpedia.org/resource/Helen_Caldicott",1938,"Helen Caldicott"
"http://dbpedia.org/resource/Jerry_Rubin",1938,"Jerry Rubin"
"http://dbpedia.org/resource/Marcia_Freedman",1938,"Marcia Freedman"
"http://dbpedia.org/resource/Bernie_Glassman",1939,"Bernie Glassman"
"http://dbpedia.org/resource/José_Argüelles",1939,"José Argüelles"
"http://dbpedia.org/resource/Judy_Collins",1939,"Judy Collins"
"http://dbpedia.org/resource/Elizabeth_McAlister",1939,"Elizabeth McAlister"
"http://dbpedia.org/resource/Stew_Albert",1939,"Stew Albert"
"http://dbpedia.org/resource/Tom_Hayden",1939,"Tom Hayden"
"http://dbpedia.org/resource/Ada_Yonath",1939,"Ada Yonath"
"http://dbpedia.org/resource/Ed_Sanders",1939,"Ed Sanders"
"http://dbpedia.org/resource/H._James_Shea_Jr.",1939,"H. James Shea Jr."
"http://dbpedia.org/resource/Bernard_Lafayette",1940,"Bernard Lafayette"
"http://dbpedia.org/resource/Judith_Hand",1940,"Judith Hand"
"http://dbpedia.org/resource/Rennie_Davis",1940,"Rennie Davis"
"http://dbpedia.org/resource/Ringo_Starr",1940,"Ringo Starr"
"http://dbpedia.org/resource/Thomas_Lewis_(activist)",1940,"Thomas Lewis (activist)"
"http://dbpedia.org/resource/Wangari_Maathai",1940,"Wangari Maathai"
"http://dbpedia.org/resource/John_Lennon",1940,"John Lennon"
"http://dbpedia.org/resource/Martin_Sheen",1940,"Martin Sheen"
"http://dbpedia.org/resource/Phil_Ochs",1940,"Phil Ochs"
"http://dbpedia.org/resource/Amelia_Rokotuivuna",1941,"Amelia Rokotuivuna"
"http://dbpedia.org/resource/Brian_Willson",1941,"Brian Willson"
"http://dbpedia.org/resource/Jim_Forest",1941,"Jim Forest"
"http://dbpedia.org/resource/Joan_Baez",1941,"Joan Baez"
"http://dbpedia.org/resource/Howard_Morland",1942,"Howard Morland"
"http://dbpedia.org/resource/Daniel_Barenboim",1942,"Daniel Barenboim"
"http://dbpedia.org/resource/Helen_Steven",1942,"Helen Steven"
"http://dbpedia.org/resource/Tadatoshi_Akiba",1942,"Tadatoshi Akiba"
"http://dbpedia.org/resource/Roger_Waters",1943,"Roger Waters"
"http://dbpedia.org/resource/Betty_Williams_(peace_activist)",1943,"Betty Williams (peace activist)"
"http://dbpedia.org/resource/John_Wallach",1943,"John Wallach"
"http://dbpedia.org/resource/George_Harrison",1943,"George Harrison"
"http://dbpedia.org/resource/Bhikkhu_Bodhi",1944,"Bhikkhu Bodhi"
"http://dbpedia.org/resource/Ruth_Adler",1944,"Ruth Adler"
"http://dbpedia.org/resource/Mairead_Maguire",1944,"Mairead Maguire"
"http://dbpedia.org/resource/Chico_Mendes",1944,"Chico Mendes"
"http://dbpedia.org/resource/Michael_Ferber",1944,"Michael Ferber"
"http://dbpedia.org/resource/Bob_Marley",1945,"Bob Marley"
"http://dbpedia.org/resource/Ron_Kovic",1946,"Ron Kovic"
"http://dbpedia.org/resource/Dennis_Kucinich",1946,"Dennis Kucinich"
"http://dbpedia.org/resource/Mohammed_Dajani_Daoudi",1946,"Mohammed Dajani Daoudi"
"http://dbpedia.org/resource/Alexander_Langer",1946,"Alexander Langer"
"http://dbpedia.org/resource/Danny_Glover",1946,"Danny Glover"
"http://dbpedia.org/resource/Teresa_Sarti_Strada",1946,"Teresa Sarti Strada"
"http://dbpedia.org/resource/Jo_Vallentine",1946,"Jo Vallentine"
"http://dbpedia.org/resource/Mark_Satin",1946,"Mark Satin"
"http://dbpedia.org/resource/Petra_Kelly",1947,"Petra Kelly"
"http://dbpedia.org/resource/Ellen_Thomas",1947,"Ellen Thomas"
"http://dbpedia.org/resource/Thomas_(activist)",1947,"Thomas (activist)"
"http://dbpedia.org/resource/Shirin_Ebadi",1947,"Shirin Ebadi"
"http://dbpedia.org/resource/Alfred-Maurice_de_Zayas",1947,"Alfred-Maurice de Zayas"
"http://dbpedia.org/resource/Carlos_Filipe_Ximenes_Belo",1948,"Carlos Filipe Ximenes Belo"
"http://dbpedia.org/resource/Cat_Stevens",1948,"Cat Stevens"
"http://dbpedia.org/resource/G._Simon_Harak",1948,"G. Simon Harak"
"http://dbpedia.org/resource/Gino_Strada",1948,"Gino Strada"
"http://dbpedia.org/resource/Zorica_Jevremović",1948,"Zorica Jevremović"
"http://dbpedia.org/resource/Brian_Haw",1949,"Brian Haw"
"http://dbpedia.org/resource/David_Dean_Shulman",1949,"David Dean Shulman"
"http://dbpedia.org/resource/José_Ramos-Horta",1949,"José Ramos-Horta"
"http://dbpedia.org/resource/Jeremy_Corbyn",1949,"Jeremy Corbyn"
"http://dbpedia.org/resource/Jody_Williams",1950,"Jody Williams"
"http://dbpedia.org/resource/Tom_Fox_(Quaker)",1951,"Tom Fox (Quaker)"
"http://dbpedia.org/resource/Justin_Raimondo",1951,"Justin Raimondo"
"http://dbpedia.org/resource/Peter_Tatchell",1952,"Peter Tatchell"
"http://dbpedia.org/resource/Medea_Benjamin",1952,"Medea Benjamin"
"http://dbpedia.org/resource/Mordechai_Vanunu",1952,"Mordechai Vanunu"
"http://dbpedia.org/resource/Kathy_Kelly",1952,"Kathy Kelly"
"http://dbpedia.org/resource/José_Bové",1953,"José Bové"
"http://dbpedia.org/resource/Eric_Garris",1953,"Eric Garris"
"http://dbpedia.org/resource/Janet_Bloomfield",1953,"Janet Bloomfield"
"http://dbpedia.org/resource/Medha_Patkar",1954,"Medha Patkar"
"http://dbpedia.org/resource/Coleen_Rowley",1954,"Coleen Rowley"
"http://dbpedia.org/resource/Monica_McWilliams",1954,"Monica McWilliams"
"http://dbpedia.org/resource/Kailash_Satyarthi",1954,"Kailash Satyarthi"
"http://dbpedia.org/resource/Adi_Roche",1955,"Adi Roche"
"http://dbpedia.org/resource/Nobuto_Hosaka",1955,"Nobuto Hosaka"
"http://dbpedia.org/resource/Ravi_Shankar_(spiritual_leader)",1956,"Ravi Shankar (spiritual leader)"
"http://dbpedia.org/resource/Cindy_Sheehan",1957,"Cindy Sheehan"
"http://dbpedia.org/resource/Amy_Goodman",1957,"Amy Goodman"
"http://dbpedia.org/resource/Darrell_Rankin",1957,"Darrell Rankin"
"http://dbpedia.org/resource/Edip_Yüksel",1957,"Edip Yüksel"
"http://dbpedia.org/resource/Laurence_Overmire",1957,"Laurence Overmire"
"http://dbpedia.org/resource/Craig_Murray",1958,"Craig Murray"
"http://dbpedia.org/resource/Rigoberta_Menchú",1959,"Rigoberta Menchú"
"http://dbpedia.org/resource/Jeanmarie_Simpson",1959,"Jeanmarie Simpson"
"http://dbpedia.org/resource/Bono",1960,"Bono"
"http://dbpedia.org/resource/Manasi_Pradhan",1962,"Manasi Pradhan"
"http://dbpedia.org/resource/Alyn_Ware",1962,"Alyn Ware"
"http://dbpedia.org/resource/Molly_Scott_Cato",1963,"Molly Scott Cato"
"http://dbpedia.org/resource/Stellan_Vinthagen",1964,"Stellan Vinthagen"
"http://dbpedia.org/resource/Lobsang_Sangay",1968,"Lobsang Sangay"
"http://dbpedia.org/resource/Julian_Assange",1971,"Julian Assange"
"http://dbpedia.org/resource/Samantha_Smith",1972,"Samantha Smith"
"http://dbpedia.org/resource/Leymah_Gbowee",1972,"Leymah Gbowee"
"http://dbpedia.org/resource/Aviv_Geffen",1973,"Aviv Geffen"
"http://dbpedia.org/resource/Vittorio_Arrigoni",1975,"Vittorio Arrigoni"
"http://dbpedia.org/resource/Ingrid_Fiskaa",1977,"Ingrid Fiskaa"
"http://dbpedia.org/resource/Tawakkol_Karman",1979,"Tawakkol Karman"
"http://dbpedia.org/resource/Rachel_Corrie",1979,"Rachel Corrie"
"http://dbpedia.org/resource/Adam_Kokesh",1982,"Adam Kokesh"
"http://dbpedia.org/resource/Lowkey",1986,"Lowkey"
"http://dbpedia.org/resource/Kirthi_Jayakumar",1987,"Kirthi Jayakumar"
"http://dbpedia.org/resource/Edvin_Kanka_Ćudić",1988,"Edvin Kanka Ćudić"
"http://dbpedia.org/resource/Alaa_Murabit",1989,"Alaa Murabit"
"http://dbpedia.org/resource/Angelo_Cardona",1997,"Angelo Cardona"
"http://dbpedia.org/resource/Malala_Yousafzai",1997,"Malala Yousafzai"
